video_id,video_title,publish_time,viewCount,likeCount,commentCount,duration
C0byYFXjRJM,Rives: The Museum of Four in the Morning,2014-05-16,261912,4727,329,0 days 00:14:05
6diqpGKOvic,Can you really tell if a kid is lying? | Kang Lee,2016-06-08,10210512,247494,18872,0 days 00:13:37
Kxg0_EpOcWs,"The Chinese zodiac, explained | ShaoLan",2016-06-30,1174104,20657,1956,0 days 00:06:05
kFMZrEABdw4,Bring on the learning revolution! | Ken Robinson,2015-09-15,532094,9630,364,0 days 00:17:55
z9jXW9r1xr8,Are indoor vertical farms the future of agriculture? | Stuart Oda,2020-02-07,407918,12411,634,0 days 00:09:58
GRfudKFLAmI,The genius behind some of the world&#39;s most famous buildings | Renzo Piano,2018-07-13,690993,18435,357,0 days 00:15:04
3p3-vl9VFYU,Suzanne Lee: Grow your own clothes,2011-05-06,242952,4978,449,0 days 00:06:41
H3TF-hI7zKc,How sampling transformed music | Mark Ronson,2014-05-09,3339658,58382,2778,0 days 00:16:55
Sm5xF-UYgdg,How not to be ignorant about the world | Hans and Ola Rosling,2014-09-11,2681843,43462,1819,0 days 00:19:10
9-5SMpg7Q0k,3 secrets of resilient people | Lucy Hone,2020-07-06,401330,12911,474,0 days 00:16:06
6G3UIrqiFLw,"What&#39;s the connection between sleep and Alzheimer&#39;s disease? | Sleeping with Science, a TED series",2020-09-02,118034,2820,86,0 days 00:05:08
F23ak31YnTI,Why every student deserves a champion | Rita Pierson,2021-05-14,79563,2691,95,0 days 00:02:50
B4xOFsygwr4,Adam Spencer: Why I fell in love with monster prime numbers,2013-09-03,276238,5000,330,0 days 00:17:17
RCXGpEmFbOw,Meet the dazzling flying machines of the future | Raffaello D&#39;Andrea,2016-03-11,8370308,130912,5597,0 days 00:11:36
hLltkC-G5dY,The playful wonderland behind great inventions | Steven Johnson,2016-12-09,116026,2886,107,0 days 00:07:26
p5IuRLOer6E,Wendy MacNaughton: The art of paying attention | TED,2021-11-19,157566,5117,165,0 days 00:13:24
RPicL1AWrs8,Paul Bloom: The origins of pleasure,2011-07-27,177144,4076,183,0 days 00:16:18
Uq1idqpX9-A,A pro wrestler&#39;s guide to confidence | Mike Kinney,2017-11-13,131024,3162,99,0 days 00:13:28
4EUAMe2ixCI,Dan Barber: How I fell in love with a fish,2010-03-10,299767,4143,293,0 days 00:19:31
tYclUdcsdeo,"Peter Norvig: The 100,000-student classroom",2012-06-18,90169,1163,75,0 days 00:06:12
UtBsl3j0YRQ,Want to be happy? Be grateful | David Steindl-Rast,2013-11-27,3030016,42760,1656,0 days 00:14:31
eKkI6-HeWXo,Max Hawkins: I let algorithms randomize my life for two years | TED,2021-03-13,225420,10023,549,0 days 00:11:50
BFZtNN6eNvQ,Julia Dhar: How to have constructive conversations | TED,2021-04-08,276303,6998,253,0 days 00:10:41
es4w3WUcrN0,This app makes it fun to pick up litter | Jeff Kirschner,2017-03-22,124118,4250,254,0 days 00:06:11
t9c7aheZxls,Your kids might live on Mars. Here&#39;s how they&#39;ll survive | Stephen Petranek,2016-05-05,5537934,95886,18351,0 days 00:17:15
7hQ0rgVfsP8,Daria van den Bercken: Why I take the piano on the road … and in the air,2014-10-03,113127,1324,78,0 days 00:09:35
CS01Hmjv1pQ,"Ralph Langner: Cracking Stuxnet, a 21st-century cyber weapon",2011-03-29,275901,2919,359,0 days 00:10:41
2m9kC1yRnLQ,Michel Laberge: How synchronized hammer strikes could generate nuclear fusion,2014-04-22,322223,6554,545,0 days 00:12:51
Ra-lxoAUP5c,Tales of ice-bound wonderlands | Paul Nicklen,2011-05-11,257246,4847,251,0 days 00:17:56
Un2yBgIAxYs,How trees talk to each other | Suzanne Simard,2016-08-30,1887240,43029,2117,0 days 00:18:25
UHkEbemburs,"Tiny satellites that photograph the entire planet, every day | Will Marshall",2014-11-18,207861,4382,352,0 days 00:08:06
7gXq1ml6B1E,Leather and meat without killing animals | Andras Forgacs,2013-09-19,256382,5505,857,0 days 00:09:03
1ALfKWG2nmw,Sarah Ellis and Helen Tupper: The best career path isn&#39;t always a straight line | TED,2021-06-11,134959,4873,209,0 days 00:09:32
yjYrxcGSWX4,A powerful way to unleash your natural creativity | Tim Harford,2019-02-07,416242,13728,488,0 days 00:17:22
17D5SrgBE6g,How we experience awe -- and why it matters | Beau Lotto and Cirque du Soleil,2019-11-18,87579,2972,146,0 days 00:14:49
Rk5C149J9C0,Why you procrastinate -- and how to still get things done | Tim Urban,2021-07-17,152305,5515,280,0 days 00:03:51
6pSMgmL7vF0,"A new type of medicine, custom-made with tiny proteins | Christopher Bahl",2020-02-19,76589,2264,93,0 days 00:04:42
Qhomjw2P-V0,What really motivates people to be honest in business | Alexander Wagner,2017-09-26,174464,2441,140,0 days 00:13:29
C74amJRp730,How a handful of tech companies control billions of minds every day | Tristan Harris,2017-07-28,769399,19914,864,0 days 00:17:01
u9Lu85L111Y,"A lyrical bridge between past, present and future | David Whyte",2017-09-08,137707,2703,108,0 days 00:20:16
TdBAHexVYzc,How CRISPR lets us edit our DNA | Jennifer Doudna,2015-11-12,1448543,27092,2542,0 days 00:15:54
wJttdkKo4nM,Kary Mullis&#39; next-gen cure for killer infection,2009-07-09,113420,2403,489,0 days 00:05:09
y5nbWUOc9tY,Julian Treasure: Why architects need to use their ears,2012-09-18,158948,2927,148,0 days 00:09:52
B905LapVP7I,Why jobs of the future won&#39;t feel like work | David Lee,2017-11-03,164558,3835,181,0 days 00:10:07
jMVAgCPYYHY,What the discovery of gravitational waves means | Allan Adams,2016-03-10,738343,10683,1138,0 days 00:10:59
xP3-W546HYs,Erik Schlangen: A &quot;self-healing&quot; asphalt,2013-02-12,158673,1498,193,0 days 00:06:51
6-tqiaPoS2U,The first 21 days of a bee’s life | Anand Varma,2015-05-11,905927,5612,264,0 days 00:06:07
iFkCMeEhs0Y,Simon Sinek: How to discover your &quot;why&quot; in difficult times | TED,2021-05-28,262213,8344,275,0 days 00:15:44
8Sl28fkrozE,10 years to transform the future of humanity -- or destabilize the planet | Johan Rockström,2020-10-15,187395,8915,896,0 days 00:07:46
kiUnJ1d8vvw,"Jay Silver: Hack a banana, make a keyboard!",2013-05-16,212542,4256,217,0 days 00:13:16
tzJYY2p0QIc,The neuroscience of restorative justice | Dan Reisel,2014-03-18,176542,2213,145,0 days 00:14:36
ttcJMNlKif4,An ingenious proposal for scaling up marine protection | The Nature Conservancy,2019-06-07,111422,4987,200,0 days 00:05:20
DAk-9LvYU1Q,What you need to know about face surveillance | Kade Crockford,2020-05-29,133996,4734,332,0 days 00:12:50
Zd71719_G8Y,Neil Burgess: How your brain tells you where you are,2012-02-06,112620,1334,114,0 days 00:09:04
4q1_iQkppSs,Meg Jay: Essential questions to ask your future self | TED,2021-07-12,133352,4906,162,0 days 00:10:21
FawSxPJsloQ,Why is 1.5 degrees such a big deal? | Kristen Bell + Giant Ant,2020-10-13,83260,2427,159,0 days 00:01:07
Is1YUQVYkvY,How to be &quot;Team Human&quot; in the digital future | Douglas Rushkoff,2019-01-14,100703,3426,199,0 days 00:12:24
gi6rMXu_veE,You are not alone in your loneliness | Jonny Sun,2019-07-26,359136,10791,459,0 days 00:10:37
m19jit19v9w,Sloths! The strange life of the world&#39;s slowest mammal | Lucy Cooke,2019-06-18,106254,4448,187,0 days 00:14:12
9B5Z-7ELMO8,A practical way to help the homeless find work and safety | Richard J. Berry,2017-09-01,110029,4406,356,0 days 00:12:22
eAKzT6_ES8w,Does photographing a moment steal the experience from you? | Erin Sullivan,2020-02-14,125450,4806,236,0 days 00:08:24
8T_jwq9ph8k,Why people believe weird things | Michael Shermer,2008-04-15,2526500,36549,6368,0 days 00:14:12
sxnlvwprf_c,Abraham Verghese: A doctor&#39;s touch,2011-09-26,342900,4975,184,0 days 00:18:33
yJX1Te0jey0,The global movement to restore nature&#39;s biodiversity | Thomas Crowther,2020-10-17,199938,9788,543,0 days 00:11:37
h-TIRIxhq6E,How to ask for help -- and get a &quot;yes&quot; | Heidi Grant,2019-07-25,125241,3533,144,0 days 00:11:54
8lXYZ6s3Dfk,Louie Schwartzberg: Nature. Beauty. Gratitude.,2014-04-18,254956,4732,109,0 days 00:09:48
OrB9JBEk1ds,Why we choke under pressure -- and how to avoid it | Sian Leah Beilock,2018-10-09,222425,5064,244,0 days 00:15:14
dDZoGcQVjJg,A one-man musical phenomenon | Jacob Collier,2018-02-07,959750,31944,1619,0 days 00:15:15
ppfONdsOkWI,3 steps to turn everyday get-togethers into transformative gatherings | Priya Parker,2019-07-15,107353,2761,101,0 days 00:10:18
SEr-Lcue5P4,"The beautiful, hard work of co-parenting | Joel Leon",2020-03-13,88764,2029,100,0 days 00:09:26
ajGgd9Ld-Wc,How AI can save our humanity | Kai-Fu Lee,2018-08-27,812371,22630,1888,0 days 00:14:50
0nI65jgHG9o,Chip Kidd: The art of first impressions — in design and life,2015-06-23,370518,9513,221,0 days 00:18:54
BltRufe5kkI,Abundance is our future | Peter Diamandis,2012-03-01,461205,7136,969,0 days 00:16:15
16cM-RFid9U,How Airbnb designs for trust | Joe Gebbia,2016-04-05,432554,8189,337,0 days 00:16:01
OEydHbngSz0,You don&#39;t have to be an expert to solve big problems | Tapiwa Chiwewe,2018-03-16,136153,2781,106,0 days 00:08:38
